objectid,globalid,Acceleration,acquisitionTime,activityX,activityY,activityZ,alive,altitude,AvgAcceleration,AvgDistance,AvgHeight,AvgSlope,AvgSpeed,AvgTimeSpan,backupVoltage,dataEventType,Distance,DistanceTolerance,DistanceUnits,dop,expelled,extendedMessageType,fixType,Heading,Height,HeightChange,HistoryDepth,idData,idDevice,Idling,idSensor,latitude,longitude,mainVoltage,MaxAcceleration,MaxDistance,MaxHeight,MaxSlope,MaxSpeed,MaxTimeSpan,MinAcceleration,MinDistance,MinHeight,MinSlope,MinSpeed,MinTimeSpan,mortalityStatus,originCode,PercentageIdleTime,positionIsValid,positionMortalityStatus,received,scts,Slope,Speed,temperature,TimeSpan,TimeSpanTolerance,TimeUnits,TotalAcceleration,TotalDistance,TotalHeightChange,TotalIdleTime,TotalSlope,TotalSpeed,TotalTimeSpan,vitActivityLevel,trackid,geometry
2010,9b9d4598-6000-4767-a65c-5bf030b2e0ef,1.68,2025-09-11 22:51:36,0.38,0.35,0.49,Yes,3244.73,0.05,49.21,3244.73,6.95,2.46,20.0,3.65,Normal,50.87,0.31,meters,1.51,No,None,3D,154.55,3244.73,9.66,4,data_1_10,1.0,Yes,10.0,40.35709,-105.719845,3.93,2.2,115.37,3251.61,12.87,11.9,20.0,1.03,0.04,3243.96,8.23,0.0,20.0,Alive,RMNP,95.9,True,Alive,2025-09-11 22:51:36,2025-09-11 22:51:36,10.75,2.54,12.93,20.0,0.67,minutes,9.02,541.3,37.62,210.98,6.95,2.46,220.0,0.3,1,POINT(-105.719845 40.35709)
2011,d2129982-dc3b-4ab8-bf9a-2ac0adbb44c0,1.13,2025-09-11 23:11:36,0.56,0.18,0.58,Yes,3239.36,0.05,51.01,3239.36,5.27,2.55,20.0,3.91,Normal,70.78,0.61,meters,1.85,No,None,3D,239.06,3239.36,-5.37,7,data_1_11,1.0,Yes,10.0,40.356762,-105.720561,3.95,1.16,132.4,3240.39,4.51,12.24,20.0,0.83,24.95,3230.87,0.53,0.0,20.0,Alive,RMNP,95.75,True,Alive,2025-09-11 23:11:36,2025-09-11 23:11:36,-4.34,3.54,5.79,20.0,0.31,minutes,10.2,612.08,32.25,229.8,5.27,2.55,240.0,0.33,1,POINT(-105.720561 40.356762)
2012,6c58df51-ca96-4d64-9f54-2197474d230e,2.83,2025-09-11 23:31:36,0.74,0.51,0.53,Yes,3217.01,0.08,81.88,3217.01,0.93,3.94,20.77,3.76,Normal,452.31,1.17,meters,1.53,No,None,3D,285.19,3217.01,-22.35,3,data_1_12,1.0,No,10.0,40.357828,-105.725713,3.51,3.17,481.2,3225.22,5.53,23.64,30.0,2.57,436.43,3216.27,0.0,9.25,30.0,Alive,RMNP,93.43,True,Alive,2025-09-11 23:31:36,2025-09-11 23:31:36,-2.83,15.08,-0.75,30.0,2.97,minutes,17.74,1064.39,9.9,252.26,0.93,3.94,270.0,0.31,1,POINT(-105.725713 40.357828)
2013,f4edace7-1e57-47f0-9307-1ccd8ea2ff61,2.88,2025-09-12 00:01:36,0.71,0.59,0.76,Yes,3187.87,0.1,102.52,3187.87,-1.34,4.78,21.43,3.68,Normal,370.87,2.84,meters,1.39,No,None,3D,325.84,3187.87,-29.13,5,data_1_13,1.0,No,10.0,40.360588,-105.728171,3.52,3.29,395.98,3193.19,7.43,20.49,30.0,2.25,368.05,3181.83,2.35,2.76,30.0,Alive,RMNP,92.03,True,Alive,2025-09-12 00:01:36,2025-09-12 00:01:36,-4.49,12.36,4.82,30.0,1.25,minutes,23.92,1435.25,-19.23,276.08,-1.34,4.78,300.0,0.3,1,POINT(-105.728171 40.360588)
2014,43576f40-85c5-4054-8a6f-791582d4043a,2.67,2025-09-12 00:31:36,0.64,0.6,0.88,Yes,3162.46,0.12,131.53,3162.46,-2.26,5.98,22.0,3.66,Normal,537.64,1.8,meters,1.77,No,None,3D,308.44,3162.46,-25.42,5,data_1_14,1.0,No,10.0,40.363593,-105.733141,3.68,3.04,561.05,3166.15,5.46,29.93,30.0,2.64,529.05,3157.76,1.79,9.76,30.0,Alive,RMNP,90.04,True,Alive,2025-09-12 00:31:36,2025-09-12 00:31:36,-2.71,17.92,6.37,30.0,0.77,minutes,32.88,1972.9,-44.65,297.12,-2.26,5.98,330.0,0.43,1,POINT(-105.733141 40.363593)
2015,de81ff15-bffb-42c5-8e6d-2f559601f3fa,3.11,2025-09-12 01:01:36,0.69,0.61,0.74,Yes,3155.77,0.13,142.84,3155.77,-2.25,6.35,22.5,3.72,Normal,312.48,1.55,meters,1.64,No,None,3D,269.43,3155.77,-6.69,9,data_1_15,1.0,No,10.0,40.363566,-105.736829,3.81,3.95,340.36,3161.03,3.86,18.31,30.0,2.82,257.02,3152.08,0.47,3.49,30.0,Alive,RMNP,89.42,True,Alive,2025-09-12 01:01:36,2025-09-12 01:01:36,-1.23,10.42,10.72,30.0,0.92,minutes,38.09,2285.38,-51.34,321.91,-2.25,6.35,360.0,0.35,1,POINT(-105.736829 40.363566)
2016,fd75125b-9133-44f1-a263-1a03f70dfee2,2.64,2025-09-12 01:31:36,0.37,0.35,0.52,Yes,3158.48,0.12,135.27,3158.48,-2.11,6.05,22.35,3.68,Normal,14.28,1.72,meters,2.1,No,None,3D,271.12,3158.48,2.71,9,data_1_16,1.0,Yes,10.0,40.363568,-105.736997,4.11,3.3,40.72,3161.54,14.24,5.7,20.0,2.42,5.58,3158.31,7.47,0.0,20.0,Alive,RMNP,89.91,True,Alive,2025-09-12 01:31:36,2025-09-12 01:31:36,10.73,0.71,-5.26,20.0,2.02,minutes,38.33,2299.65,-48.63,341.67,-2.11,6.05,380.0,0.34,1,POINT(-105.736997 40.363568)
2017,a2afd29e-2452-45e7-83e9-62cd5a7a23ef,1.84,2025-09-12 01:51:36,0.43,0.22,0.55,Yes,3154.13,0.12,130.47,3154.13,-2.26,5.87,22.22,3.92,Normal,48.87,2.07,meters,1.71,No,None,3D,223.17,3154.13,-4.34,10,data_1_17,1.0,Yes,10.0,40.363247,-105.737392,4.14,2.43,104.72,3159.1,7.87,10.64,20.0,0.86,29.3,3147.37,2.47,0.0,20.0,Alive,RMNP,90.21,True,Alive,2025-09-12 01:51:36,2025-09-12 01:51:36,-5.08,2.44,21.81,20.0,0.28,minutes,39.14,2348.53,-52.98,360.86,-2.26,5.87,400.0,0.38,1,POINT(-105.737392 40.363247)
2018,047de696-38f9-452a-b5ff-095846160090,1.51,2025-09-12 02:11:36,0.36,0.37,0.54,Yes,3154.87,0.11,125.66,3154.87,-2.19,5.68,22.11,3.86,Normal,39.05,2.63,meters,1.73,No,None,3D,172.45,3154.87,0.73,4,data_1_18,1.0,Yes,10.0,40.362899,-105.737331,3.94,1.81,90.03,3162.89,3.52,16.28,20.0,0.71,18.2,3146.43,0.0,0.0,20.0,Alive,RMNP,90.53,True,Alive,2025-09-12 02:11:36,2025-09-12 02:11:36,1.08,1.95,8.52,20.0,0.63,minutes,39.79,2387.57,-52.24,380.21,-2.19,5.68,420.0,0.38,1,POINT(-105.737331 40.362899)
2019,23215a40-59a0-415a-9cbb-62fd5811525a,1.78,2025-09-12 02:31:36,0.38,0.11,0.53,Yes,3158.15,0.11,124.27,3158.15,-1.97,5.65,22.0,3.99,Normal,97.9,2.29,meters,1.52,No,None,3D,178.89,3158.15,3.28,7,data_1_19,1.0,Yes,10.0,40.362019,-105.737309,4.07,2.49,149.15,3165.55,4.51,17.64,20.0,1.1,66.33,3152.25,0.0,0.0,20.0,Alive,RMNP,90.59,True,Alive,2025-09-12 02:31:36,2025-09-12 02:31:36,1.92,4.9,-6.26,20.0,1.26,minutes,41.42,2485.48,-48.96,398.58,-1.97,5.65,440.0,0.27,1,POINT(-105.737309 40.362019)
2020,15b8d7b2-f41d-4f2a-b76c-9b45fa3cb9d4,2.91,2025-09-11 22:31:36,0.31,0.23,0.62,Yes,3385.62,0.0,0.0,3385.62,0.0,0.0,20.0,4.12,Normal,0.0,0.62,meters,1.04,No,None,3D,209.67,3385.62,0.0,7,data_2_0,2.0,Yes,20.0,40.328702,-105.600826,3.71,3.06,45.36,3392.67,0.44,9.28,20.0,2.89,0.0,3378.68,0.0,0.0,20.0,Alive,RMNP,100.0,True,Alive,2025-09-11 22:31:36,2025-09-11 22:31:36,0.0,0.0,11.41,20.0,0.72,minutes,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.34,2,POINT(-105.600826 40.328702)
2021,75e5d7c2-cf06-41ee-bbdc-76b12efe5782,1.94,2025-09-11 22:51:36,0.51,0.43,0.62,Yes,3393.02,0.02,22.25,3393.02,16.64,1.11,20.0,3.97,Normal,44.49,1.68,meters,1.71,No,None,3D,156.16,3393.02,7.41,8,data_2_1,2.0,Yes,20.0,40.328336,-105.600614,3.69,2.08,80.35,3394.64,11.38,23.07,20.0,1.53,34.55,3392.33,8.2,0.0,20.0,Alive,RMNP,98.15,True,Alive,2025-09-11 22:51:36,2025-09-11 22:51:36,9.45,2.22,18.57,20.0,0.3,minutes,0.74,44.49,7.41,39.26,16.64,1.11,40.0,0.3,2,POINT(-105.600614 40.328336)
2022,c7ed58bb-54f3-4d46-831c-7cb7871342b6,1.13,2025-09-11 23:11:36,0.28,0.42,0.61,Yes,3393.6,0.03,34.81,3393.6,7.65,1.74,20.0,4.2,Normal,59.93,0.48,meters,1.36,No,None,3D,128.37,3393.6,0.58,1,data_2_2,2.0,Yes,20.0,40.328002,-105.60006,3.89,2.15,90.22,3403.88,1.8,8.16,20.0,0.67,25.24,3384.29,0.0,0.0,20.0,Alive,RMNP,97.1,True,Alive,2025-09-11 23:11:36,2025-09-11 23:11:36,0.55,3.0,17.02,20.0,1.86,minutes,1.74,104.43,7.98,58.26,7.65,1.74,60.0,0.29,2,POINT(-105.60006 40.328002)
2023,3b0c6dbf-c99f-45d0-8f76-a55ad851765f,1.83,2025-09-11 23:31:36,0.42,0.34,0.42,Yes,3383.2,0.04,41.34,3383.2,-1.46,2.07,20.0,3.82,Normal,60.95,0.1,meters,1.28,No,None,3D,89.11,3383.2,-10.41,2,data_2_3,2.0,Yes,20.0,40.32801,-105.599341,4.08,1.92,107.78,3388.22,14.11,20.2,20.0,1.59,38.95,3370.12,7.48,0.0,20.0,Alive,RMNP,96.55,True,Alive,2025-09-11 23:31:36,2025-09-11 23:31:36,-9.69,3.05,7.47,20.0,2.91,minutes,2.76,165.38,-2.42,77.24,-1.46,2.07,80.0,0.2,2,POINT(-105.599341 40.32801)
2024,beda95c5-bc3a-46a1-b325-d51fc18dfb6e,2.68,2025-09-11 23:51:36,0.32,0.23,0.31,Yes,3391.12,0.04,43.31,3391.12,2.54,2.17,20.0,3.56,Normal,51.18,2.11,meters,1.4,No,None,3D,173.43,3391.12,7.93,4,data_2_4,2.0,Yes,20.0,40.327553,-105.599272,4.06,3.45,81.03,3393.03,11.39,11.11,20.0,2.58,0.0,3388.72,6.84,0.0,20.0,Alive,RMNP,96.39,True,Alive,2025-09-11 23:51:36,2025-09-11 23:51:36,8.8,2.56,-6.72,20.0,1.82,minutes,3.61,216.56,5.51,96.39,2.54,2.17,100.0,0.36,2,POINT(-105.599272 40.327553)
2025,291a3f43-b5db-4288-80bd-e43b5501c2a0,0.66,2025-09-12 00:11:36,0.51,0.16,0.41,Yes,3413.36,0.05,49.23,3413.36,9.39,2.46,20.0,4.06,Normal,78.82,1.17,meters,1.15,No,None,3D,232.45,3413.36,22.24,3,data_2_5,2.0,Yes,20.0,40.327121,-105.600009,3.52,0.77,146.77,3422.36,16.57,19.62,20.0,0.53,61.01,3408.12,15.26,0.0,20.0,Alive,RMNP,95.9,True,Alive,2025-09-12 00:11:36,2025-09-12 00:11:36,15.76,3.94,14.05,20.0,0.42,minutes,4.92,295.38,27.74,115.08,9.39,2.46,120.0,0.27,2,POINT(-105.600009 40.327121)
2026,c70da6bf-d71d-4940-9f50-b1c5f38ec77e,1.73,2025-09-12 00:31:36,0.33,0.36,0.46,Yes,3412.88,0.05,47.18,3412.88,8.26,2.36,20.0,3.94,Normal,34.86,1.95,meters,0.88,No,None,3D,159.18,3412.88,-0.48,4,data_2_6,2.0,Yes,20.0,40.326828,-105.599863,4.04,2.53,69.49,3420.57,3.38,3.17,20.0,1.69,0.0,3410.59,0.0,0.0,20.0,Alive,RMNP,96.07,True,Alive,2025-09-12 00:31:36,2025-09-12 00:31:36,-0.79,1.74,-4.02,20.0,0.06,minutes,5.5,330.24,27.26,134.5,8.26,2.36,140.0,0.3,2,POINT(-105.599863 40.326828)
2027,00341bde-1483-40bd-b94a-617433a605f5,1.05,2025-09-12 00:51:36,0.67,0.37,0.46,Yes,3416.08,0.04,42.83,3416.08,8.89,2.14,20.0,3.84,Normal,12.37,1.3,meters,1.69,No,None,3D,239.14,3416.08,3.2,10,data_2_7,2.0,Yes,20.0,40.326771,-105.599988,3.52,1.76,13.92,3423.08,15.71,10.82,20.0,0.23,0.0,3408.6,13.35,0.0,20.0,Alive,RMNP,96.43,True,Alive,2025-09-12 00:51:36,2025-09-12 00:51:36,14.48,0.62,2.56,20.0,1.46,minutes,5.71,342.62,30.46,154.29,8.89,2.14,160.0,0.31,2,POINT(-105.599988 40.326771)
2028,f0134836-31f1-4db5-b69a-dc70eb60d171,1.29,2025-09-12 01:11:36,0.45,0.18,0.55,Yes,3417.76,0.04,40.31,3417.76,8.86,2.02,20.0,4.13,Normal,20.16,1.88,meters,1.64,No,None,3D,259.74,3417.76,1.68,4,data_2_8,2.0,Yes,20.0,40.326738,-105.600222,3.65,1.47,48.44,3422.09,7.15,9.39,20.0,0.88,0.0,3412.31,3.12,0.0,20.0,Alive,RMNP,96.64,True,Alive,2025-09-12 01:11:36,2025-09-12 01:11:36,4.78,1.01,6.92,20.0,2.89,minutes,6.05,362.78,32.15,173.95,8.86,2.02,180.0,0.27,2,POINT(-105.600222 40.326738)
2029,9eac3806-572b-4306-8a66-abbe1d53d9c2,1.7,2025-09-12 01:31:36,0.4,0.36,0.57,Yes,3423.68,0.04,41.2,3423.68,9.24,2.06,20.0,4.09,Normal,49.22,1.81,meters,0.84,No,None,3D,155.44,3423.68,5.92,9,data_2_9,2.0,Yes,20.0,40.326336,-105.599981,4.17,2.09,105.34,3426.64,8.22,3.48,20.0,0.87,37.59,3419.3,5.95,0.0,20.0,Alive,RMNP,96.57,True,Alive,2025-09-12 01:31:36,2025-09-12 01:31:36,6.86,2.46,19.9,20.0,2.99,minutes,6.87,412.0,38.06,193.13,9.24,2.06,200.0,0.36,2,POINT(-105.599981 40.326336)
2030,2a3a384f-baa0-4a31-bc95-40a4525a1107,1.65,2025-09-12 01:51:36,0.24,0.22,0.45,Yes,3438.35,0.04,42.61,3438.35,11.25,2.13,20.0,3.54,Normal,56.7,2.58,meters,1.58,No,None,3D,193.25,3438.35,14.67,10,data_2_10,2.0,Yes,20.0,40.32584,-105.600134,3.67,2.2,77.24,3447.75,16.78,19.64,20.0,0.96,34.95,3428.6,12.28,0.0,20.0,Alive,RMNP,96.45,True,Alive,2025-09-12 01:51:36,2025-09-12 01:51:36,14.51,2.83,-5.49,20.0,0.74,minutes,7.81,468.7,52.74,212.19,11.25,2.13,220.0,0.34,2,POINT(-105.600134 40.32584)
2031,0dfcf864-55c9-448e-9157-a0ce259cd551,0.98,2025-09-12 02:11:36,0.29,0.31,0.6,Yes,3434.36,0.05,45.85,3434.36,8.86,2.29,20.0,3.92,Normal,81.5,1.2,meters,1.87,No,None,3D,124.94,3434.36,-3.99,7,data_2_11,2.0,Yes,20.0,40.32542,-105.599346,3.99,1.48,126.75,3437.94,6.24,19.9,20.0,0.6,43.82,3430.51,0.0,0.0,20.0,Alive,RMNP,96.18,True,Alive,2025-09-12 02:11:36,2025-09-12 02:11:36,-2.8,4.08,6.04,20.0,2.53,minutes,9.17,550.2,48.74,230.83,8.86,2.29,240.0,0.35,2,POINT(-105.599346 40.32542)
2032,3a745f72-4bb0-495c-befd-2cbf50e51613,3.16,2025-09-12 02:31:36,0.6,0.75,0.85,Yes,3396.35,0.07,70.22,3396.35,1.18,3.38,20.77,4.19,Normal,362.65,1.6,meters,1.77,No,None,3D,99.61,3396.35,-38.01,6,data_2_12,2.0,No,20.0,40.324875,-105.595128,3.74,3.52,418.21,3406.11,7.4,33.05,30.0,2.54,353.58,3389.3,4.53,6.19,30.0,Alive,RMNP,94.37,True,Alive,2025-09-12 02:31:36,2025-09-12 02:31:36,-5.98,12.09,14.68,30.0,2.66,minutes,15.21,912.85,10.73,254.79,1.18,3.38,270.0,0.39,2,POINT(-105.595128 40.324875)
2033,f3308347-f6a5-42bf-a688-ae994537e108,2.66,2025-09-12 03:01:36,0.68,0.7,0.8,Yes,3312.65,0.1,112.16,3312.65,-4.65,5.23,21.43,3.55,Normal,657.33,0.95,meters,1.58,No,None,3D,99.78,3312.65,-83.7,2,data_2_13,2.0,No,20.0,40.32387,-105.587487,3.97,3.13,702.97,3318.4,10.63,34.67,30.0,2.28,606.88,3305.51,5.96,14.42,30.0,Alive,RMNP,91.28,True,Alive,2025-09-12 03:01:36,2025-09-12 03:01:36,-7.26,21.91,9.73,30.0,1.5,minutes,26.17,1570.18,-72.97,273.83,-4.65,5.23,300.0,0.42,2,POINT(-105.587487 40.32387)
2034,3cfa72a4-2a3e-4338-9612-96b86c6f294b,3.45,2025-09-12 03:31:36,0.65,0.58,0.79,Yes,3248.71,0.12,128.64,3248.71,-7.1,5.85,22.0,3.52,Normal,359.44,0.72,meters,1.18,No,None,3D,79.74,3248.71,-63.95,9,data_2_14,2.0,No,20.0,40.324446,-105.583315,3.98,4.1,398.87,3250.38,12.9,25.19,30.0,3.19,309.59,3244.8,7.44,0.0,30.0,Alive,RMNP,90.25,True,Alive,2025-09-12 03:31:36,2025-09-12 03:31:36,-10.09,11.98,21.42,30.0,2.85,minutes,32.16,1929.62,-136.91,297.84,-7.1,5.85,330.0,0.33,2,POINT(-105.583315 40.324446)
2035,598ba340-69ac-49f9-a3a3-2371fcd503ea,2.61,2025-09-12 04:01:36,0.74,0.59,0.81,Yes,3147.01,0.14,156.95,3147.01,-9.5,6.98,22.5,4.16,Normal,581.56,1.99,meters,0.92,No,None,3D,80.63,3147.01,-101.69,8,data_2_15,2.0,No,20.0,40.325297,-105.576546,4.05,3.34,591.2,3155.81,10.76,28.59,30.0,2.45,566.7,3137.83,7.37,10.3,30.0,Alive,RMNP,88.37,True,Alive,2025-09-12 04:01:36,2025-09-12 04:01:36,-9.92,19.39,2.4,30.0,0.01,minutes,41.85,2511.18,-238.6,318.15,-9.5,6.98,360.0,0.39,2,POINT(-105.576546 40.325297)
2036,5adc75f9-4935-4516-8db5-df8741585208,1.78,2025-09-12 04:31:36,0.21,0.37,0.55,Yes,3151.15,0.14,151.01,3151.15,-9.13,6.76,22.35,3.98,Normal,55.99,2.22,meters,1.08,No,None,3D,164.07,3151.15,4.13,8,data_2_16,2.0,Yes,20.0,40.324813,-105.576365,3.75,1.93,86.85,3155.99,4.35,19.38,20.0,0.98,22.42,3150.59,2.93,0.0,20.0,Alive,RMNP,88.74,True,Alive,2025-09-12 04:31:36,2025-09-12 04:31:36,4.22,2.8,14.36,20.0,1.07,minutes,42.79,2567.17,-234.47,337.21,-9.13,6.76,380.0,0.31,2,POINT(-105.576365 40.324813)
2037,bdac22e4-5c5a-4160-b9da-1dec1b4fc83c,2.34,2025-09-12 04:51:36,0.4,0.4,0.45,Yes,3165.47,0.13,146.53,3165.47,-8.35,6.59,22.22,3.92,Normal,70.46,0.27,meters,1.18,No,None,3D,209.34,3165.47,14.32,2,data_2_17,2.0,Yes,20.0,40.324261,-105.576772,3.99,2.41,109.67,3169.18,13.38,17.75,20.0,1.44,67.81,3161.14,7.99,0.0,20.0,Alive,RMNP,89.01,True,Alive,2025-09-12 04:51:36,2025-09-12 04:51:36,11.49,3.52,-6.59,20.0,1.59,minutes,43.96,2637.63,-220.14,356.04,-8.35,6.59,400.0,0.26,2,POINT(-105.576772 40.324261)
